List length,BST add,BST get_min,BST get_max,Heap add,Heap get_min,Heap get_max,Quick add,Quick get_min,Quick get_max,Bubble add,Bubble get_min,Bubble get_max
100,0.74391,0.09928,0.0,0.19832,0.0,0.0,12.64749,0.09918,0.09959,36.2082,0.04959,0.09923
200,1.09141,0.29745,0.34711,0.04954,0.09918,0.04959,52.22116,0.14875,0.05312,274.88289,0.04961,0.04959
300,2.13273,0.49624,0.39663,0.24188,0.15249,0.25115,134.46574,0.2476,0.04961,901.28224,0.44096,0.09894
400,2.43201,0.54555,0.74413,0.29755,0.14882,0.34752,239.76846,0.4936,0.09913,2184.62539,0.44601,0.39732
500,3.72057,0.7978,1.1888,0.59495,0.19832,0.24827,383.0996,0.45238,0.09606,4160.48393,0.84388,0.44935
600,4.11723,0.99201,1.04074,0.5456,0.24793,0.29771,521.30024,0.44348,0.34463,7212.7073,1.20163,0.69377
700,5.70269,1.68791,0.7935,0.64473,0.24772,0.24817,740.12332,0.80407,0.59149,11760.87787,0.99885,0.99523
800,5.60141,1.58699,0.9922,0.843,0.54569,0.44663,939.973,0.74468,0.39711,17549.44811,1.08507,0.55211
900,6.34975,1.49138,1.98169,0.74441,0.5425,0.74358,1250.17579,1.04506,0.44901,24851.5837,1.38571,0.83988
1000,6.74284,1.44022,2.28565,0.79341,0.4962,0.49605,1492.45019,1.23847,0.8461,34680.15754,2.38478,0.69716
